zone,motion,vibration,timestamp
ControlRoom,14.37,9.58,2026-02-25 11:06:29.788033
Border,3.41,9.9,2026-02-25 11:06:31.880722
Border,0.62,6.65,2026-02-25 11:06:32.325511
Border,6.7,13.39,2026-02-25 11:06:34.376917
Warehouse,3.13,0.67,2026-02-25 11:06:36.428041
ControlRoom,7.32,0.53,2026-02-25 11:06:38.471239
ControlRoom,13.02,5.4,2026-02-25 11:06:40.518155
ControlRoom,1.34,5.45,2026-02-25 11:06:42.580030
Warehouse,14.08,5.43,2026-02-25 11:06:44.594064
Warehouse,12.46,1.63,2026-02-25 11:06:46.605917
Border,5.96,4.9,2026-02-25 11:06:48.620276
ControlRoom,2.05,11.83,2026-02-25 11:06:50.629735
ControlRoom,13.9,14.51,2026-02-25 11:06:52.642164
ControlRoom,9.6,1.15,2026-02-25 11:06:54.694370
ControlRoom,6.67,8.26,2026-02-25 11:06:56.762962
ControlRoom,0.76,2.88,2026-02-25 11:06:58.770549
Border,14.17,3.28,2026-02-25 11:07:00.784934
Border,10.55,14.61,2026-02-25 11:07:02.851203
Border,10.64,12.6,2026-02-25 11:07:03.277706
Warehouse,2.8,9.5,2026-02-25 11:07:05.347944
Warehouse,9.4,10.09,2026-02-25 11:07:07.379316
Warehouse,8.86,13.15,2026-02-25 11:07:09.443973
Border,5.45,6.86,2026-02-25 11:07:11.526143
Border,4.28,0.71,2026-02-25 11:07:13.583198
Warehouse,1.71,0.1,2026-02-25 11:07:15.680788
Border,14.29,5.46,2026-02-25 11:07:17.800163
Border,11.94,9.55,2026-02-25 11:07:19.914099
ControlRoom,1.2,8.53,2026-02-25 11:07:22.041376
Border,12.57,6.9,2026-02-25 11:07:24.168073
ControlRoom,8.02,4.61,2026-02-25 11:07:26.182289
Warehouse,5.22,4.89,2026-02-25 11:07:28.309761
Border,3.57,5.54,2026-02-25 11:07:30.332666
Warehouse,0.6,3.99,2026-02-25 11:07:32.373475
Warehouse,5.7,13.85,2026-02-25 11:07:32.730953
Border,7.94,14.84,2026-02-25 11:07:34.741901
Border,3.09,12.1,2026-02-25 11:07:36.769912
Warehouse,12.53,0.02,2026-02-25 11:07:38.804364
ControlRoom,10.54,1.62,2026-02-25 11:07:40.826878
Border,10.03,6.15,2026-02-25 11:07:42.845827
ControlRoom,10.95,5.34,2026-02-25 11:07:44.856065
ControlRoom,11.29,11.62,2026-02-25 11:07:46.887266
Warehouse,6.12,8.88,2026-02-25 11:07:48.909553
Border,13.13,11.47,2026-02-25 11:07:50.927991
ControlRoom,11.92,5.14,2026-02-25 11:07:52.968575
Border,3.0,7.83,2026-02-25 11:07:55.000852
ControlRoom,8.13,13.72,2026-02-25 11:07:57.045426
ControlRoom,0.14,3.71,2026-02-25 11:07:59.067577
ControlRoom,1.47,11.82,2026-02-25 11:08:01.087163
ControlRoom,5.66,10.61,2026-02-25 11:08:03.199360
ControlRoom,10.91,7.62,2026-02-25 11:08:03.604790
ControlRoom,11.29,0.32,2026-02-25 11:08:05.644247
Warehouse,1.37,14.61,2026-02-25 11:08:07.651582
Border,7.55,9.58,2026-02-25 11:08:09.750702
Border,12.16,6.49,2026-02-25 11:08:11.811185
ControlRoom,11.97,3.58,2026-02-25 11:08:13.917382
Border,13.9,12.31,2026-02-25 11:08:15.987516
Warehouse,13.15,6.42,2026-02-25 11:08:18.125895
Warehouse,11.07,11.87,2026-02-25 11:08:20.210092
Warehouse,5.48,2.14,2026-02-25 11:08:22.317095
ControlRoom,10.72,1.18,2026-02-25 11:08:24.325864
ControlRoom,1.89,6.75,2026-02-25 11:08:26.354037
Border,7.21,3.94,2026-02-25 11:08:28.378605
ControlRoom,8.43,13.21,2026-02-25 11:08:30.396982
ControlRoom,12.75,5.38,2026-02-25 11:08:32.484248
Border,3.06,9.51,2026-02-25 11:08:34.539771
Warehouse,9.01,7.59,2026-02-25 11:08:35.022284
Warehouse,0.66,0.26,2026-02-25 11:08:37.096977
Border,6.82,3.41,2026-02-25 11:08:39.127620
Warehouse,2.22,5.33,2026-02-25 11:08:41.174487
Warehouse,2.3,8.14,2026-02-25 11:08:43.278616
ControlRoom,3.18,6.87,2026-02-25 11:08:45.292017
